Date,Price,Volume,Market cap,Coin
2024-04-24,0.9998017939,60998445931,110419420574,USDT
2024-04-23,1.000093427,49389574681,110414385522,USDT
2024-04-22,1.000336037,52741030322,109876809892,USDT
2024-04-21,1.000212647,40914266460,109857607038,USDT
2024-04-20,1.00042892,45625971025,109759499495,USDT
2024-04-19,1.000595096,84354523666,109540756062,USDT
2024-04-18,1.000551102,63558115213,109090139733,USDT
2024-04-17,0.999994369,71118551643,108733311238,USDT
2024-04-16,1.00039325,77388159492,108151712779,USDT
2025-04-14,0.9997508857,11279262236,60189060931,USDC
2025-04-13,0.999905197,8398473378,60054612706,USDC
2025-04-12,0.9999933302,7676882234,60080217934,USDC
2025-04-11,0.9999671657,11171173047,60076087407,USDC
2025-04-10,0.9999474065,12968188424,59912761288,USDC
2025-04-09,0.9999286642,22801529129,59940890042,USDC
2025-04-08,0.9998389559,15359090304,60137296040,USDC
2025-04-07,1.000240819,25379799007,60262622185,USDC
2025-04-06,0.9999427775,11438674601,60336255574,USDC
2025-04-05,0.9999930094,4505740439,60532831295,USDC
2025-04-04,0.9999219637,14661520062,60570560554,USDC
2025-04-03,0.999940534,12665493909,60867477943,USDC
2025-04-02,1.000001291,15685504944,60648969145,USDC
2025-04-01,1.000037411,8951500963,60120543369,USDC
2025-03-31,0.999886425,10972505506,60070916213,USDC
2025-03-30,1.00005994,5545589305,60190955381,USDC
2025-03-29,0.9999168798,6452445830,60243858828,USDC
2025-03-28,1.000021124,11720323398,60254162144,USDC
2025-03-27,0.9999328786,9335553639,60342859439,USDC
2025-03-26,0.9998946297,8964829253,60168404854,USDC
2025-03-25,0.9999927318,9053718025,60125703586,USDC
2025-03-24,1.000106946,10763138743,59710286018,USDC
2025-03-23,1.000027286,4334955293,59710105775,USDC
2025-03-22,1.000021147,3687086901,59616902586,USDC
2025-03-21,1.00004025,8056596360,59671423093,USDC
2025-03-20,0.9998723207,10484925681,59323579774,USDC
2025-03-19,1.000088411,11517621398,59173010895,USDC
2025-03-18,0.9999134082,7571744811,58822779690,USDC
2025-03-17,1.000043699,7364251292,58807109944,USDC
2025-03-16,1.000118411,5342376239,58722467614,USDC
2025-03-15,0.9999710293,4232926386,58770355045,USDC
2025-03-14,0.9999988738,8847938133,58688699142,USDC
2025-03-13,0.9999979097,11856838776,58329747041,USDC
2025-03-12,0.9997671158,11962339616,58263621579,USDC
2025-03-11,0.9999324318,14833420303,58115446944,USDC
2025-03-10,1.000042597,17810860152,57879658216,USDC
2025-03-09,0.9998533854,6144542711,58115071283,USDC
2025-03-08,0.9999279747,4127743059,58117403003,USDC
2025-03-07,0.9998267452,12032728232,58138297163,USDC
2025-03-06,1.00010334,9861139718,57276831163,USDC
2025-03-05,0.9999965841,9271446360,56989879185,USDC
2025-03-04,0.9998530281,14008589283,56441380844,USDC
2025-03-03,0.9998659644,13808944206,56199270673,USDC
2025-03-02,1.000027599,13210357333,56371530465,USDC
2025-03-01,0.9997811345,5501083056,56351148895,USDC
2025-02-28,0.9998782029,14081466100,56375761534,USDC
2025-02-27,0.9998184832,9719464108,55579852821,USDC
2025-02-26,0.9999149773,11546719465,56039702055,USDC
2025-02-25,0.9999932314,16057418626,56221669257,USDC
2025-02-24,0.9998038427,10369215725,56614827530,USDC
2025-02-23,1.000043714,5105617640,57173757220,USDC
2025-02-22,1.000133498,5462121672,57096992297,USDC
2025-02-21,1.000116858,10738574137,57213777139,USDC
2025-02-20,0.9999821722,7453422390,56216500170,USDC
2025-02-19,0.9999345378,6140029876,56249027527,USDC
2025-02-18,0.9998214275,8525503716,56211667885,USDC
2025-02-17,0.9999588877,6994398261,56473957355,USDC
2025-02-16,0.9999469441,4310300996,56457482086,USDC
2025-02-15,0.9999628428,4631171038,56371139417,USDC
2025-02-14,0.9999298366,8868475735,56353208182,USDC
2025-02-13,1.000029677,7971520510,56104555414,USDC
2025-02-12,1.000039865,9290154331,56084769945,USDC
2025-02-11,0.9999459985,7590822419,56068208925,USDC
2025-02-10,0.9999390494,7290485956,56245323271,USDC
2025-02-09,1.000026749,5561659216,56199285137,USDC
2025-02-08,1.000089106,4752901210,56055359301,USDC
2025-02-07,1.000107139,9658671792,56258886632,USDC
2025-02-06,1.00005703,9168007548,55747457547,USDC
2025-02-05,1.000059509,9168611887,55319134017,USDC
2025-02-04,0.999902482,13781033980,55027343950,USDC
2025-02-03,0.9999404591,25631139115,54450664045,USDC
2025-02-02,0.9999416003,11920276473,53401954902,USDC
2025-02-01,1.000027071,6185622117,53326803208,USDC
2025-01-31,1.000129811,8846936448,53323128392,USDC
2025-01-30,1.000001077,7862432550,53110185150,USDC
2025-01-29,1.000047595,8752826477,52551166575,USDC
2025-01-28,1.000179314,8727690529,52515804563,USDC
2025-01-27,1.000066514,14155994278,52310047579,USDC
2025-01-26,0.9999810953,6265241677,52200924518,USDC
2025-01-25,0.9999892533,6639518364,52182762560,USDC
2025-01-24,0.9999186242,10239429179,52193907187,USDC
2025-01-23,0.9999649785,21214955925,51934215246,USDC
2025-01-22,0.9999739435,10044372261,51527267750,USDC
2025-01-21,0.9998759182,14830922157,50909518412,USDC
2025-01-20,1.000107404,26853357037,48111643358,USDC
2025-01-19,1.000519213,25940426522,48057169960,USDC
2025-01-18,1.000033126,20031244124,47468285067,USDC
2025-01-17,0.9999291988,9993616896,47410044668,USDC
2025-01-16,1.000009781,8642062676,46483655999,USDC
2025-01-15,0.9998901719,8920524801,46227103384,USDC
2025-01-14,1.000133253,6762370105,45701096575,USDC
2025-01-13,0.9999636547,9931508302,45655058930,USDC
2025-01-12,0.9999673667,3330316049,45747627405,USDC
2025-01-11,0.9999520441,3760069434,45736600164,USDC
2025-01-10,1.000076182,7843222136,45714582988,USDC
2025-01-09,1.00001831,8459464210,45411563162,USDC
2025-01-08,0.9999841899,9359722628,45343170001,USDC
2025-01-07,1.000109326,9456450545,45504272383,USDC
2025-01-06,0.9999656576,7731799916,45890637925,USDC
2025-01-05,1.000062251,3837973655,45614128885,USDC
2025-01-04,1.000208713,4779945985,45554906948,USDC
2025-01-03,0.9998905305,7108083150,45336918864,USDC
2025-01-02,1.000038306,7015734565,44404717316,USDC
2025-01-01,0.9999450839,4814331123,43764778311,USDC
2024-12-31,0.9999822075,6536628101,43893856713,USDC
2024-12-30,0.9998783203,8198256021,43786146843,USDC
2024-12-29,0.999976314,4676908159,43619921670,USDC
2024-12-28,1.000040605,4275867712,43599406687,USDC
2024-12-27,1.000050473,7058593949,43552290733,USDC
2024-12-26,0.9998893529,6293907750,43504746979,USDC
2024-12-25,1.000007308,4968406014,43160386426,USDC
2024-12-24,1.000006798,7328436637,43164368021,USDC
2024-12-23,1.000017463,9456995473,43099030435,USDC
2024-12-22,1.000005391,6004278873,42999419852,USDC
2024-12-21,1.000001914,7762954179,42948135797,USDC
2024-12-20,1.000036271,14518266682,42744145931,USDC
2024-12-19,1.000125085,13783077258,42380211387,USDC
2024-12-18,1.000006864,13913234580,42374553183,USDC
2024-12-17,0.9999197482,11318307939,42550118830,USDC
2024-12-16,0.9997760126,12630474818,42345742915,USDC
2024-12-15,0.9997290851,7231351889,42113984557,USDC
2024-12-14,0.9997208636,6251462807,41986788956,USDC
2024-12-13,0.9998874991,9114211832,41973037166,USDC
2024-12-12,0.9999146497,12062083208,41502581919,USDC
2024-12-11,0.9997627948,11895234521,41544877151,USDC
2024-12-10,1.000009131,16205054595,40853625594,USDC
2024-12-09,0.9999596699,17356499121,40657309894,USDC
2024-12-08,1.000133914,6377521647,41034381574,USDC
2024-12-07,0.9999593302,6778500949,41228197238,USDC
2024-12-06,0.9998431706,14138620427,41234885531,USDC
2024-12-05,1.000240058,21397586720,40303659992,USDC
2024-12-04,0.9998703413,14566231354,40585591637,USDC
2024-12-03,1.000259434,12588468097,40073741442,USDC
2024-12-02,0.9999560848,13993252120,39879382336,USDC
2024-12-01,0.9999920543,7199615705,40009216437,USDC
2024-11-30,1.000058101,6674129328,39913045885,USDC
2024-11-29,0.999869108,9445741613,39798395901,USDC
2024-11-28,1.000030717,8182163025,39404920604,USDC
2024-11-27,0.9999699986,11875242690,39497531837,USDC
2024-11-26,1.000091629,13492395639,38629008340,USDC
2024-11-25,0.9999849835,13994888761,38709270109,USDC
